timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Feb 7, 2026 @ 10:33:05.440",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:33:05.398",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:59.452",hridoy,"[""T1110""]","[""Credential Access""]",Multiple failed SSH login attemps to admin acceount from same IP within 30 seconts,12,300101
"Feb 7, 2026 @ 10:32:59.394",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:55.411",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:55.400",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:53.393",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:53.392",hridoy,"[""T1110""]","[""Credential Access""]",Multiple failed SSH login attemps to admin acceount from same IP within 30 seconts,12,300101
"Feb 7, 2026 @ 10:32:47.392",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:47.392",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:41.421",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:41.421",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:37.386",hridoy,"[""T1110""]","[""Credential Access""]",Multiple failed SSH login attemps to admin acceount from same IP within 30 seconts,12,300101
"Feb 7, 2026 @ 10:32:37.376",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:35.363",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:35.363",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:29.339",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:29.311",hridoy,"[""T1110""]","[""Credential Access""]",Multiple failed SSH login attemps to admin acceount from same IP within 30 seconts,12,300101
"Feb 7, 2026 @ 10:32:23.327",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:23.290",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:15.322",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
"Feb 7, 2026 @ 10:32:15.321",hridoy,"[""T1110""]","[""Credential Access""]",Failed SSH login attempt to admin account,6,300100
